89	309	20	230	51	73	231	904	517	172	969	116	426	45	5	727	130	310	972	437	10	840	564	552	560	890	610	593	672	677
808	471	976	399	717	224	383	911	49	758	942	894	879	55	324	112	20	557	329	624	457	948	434	231	559	606	635	593	401	370
777	243	630	180	82	134	188	144	641	644	971	503	200	293	710	950	86	825	882	369	380	314	716	745	449	49	690	216	688	518
779	539	751	717	270	609	741	998	175	826	448	211	805	756	143	253	93	323	6	73	915	603	441	119	141	65	666	365	842	910
832	513	864	619	645	897	228	264	21	674	693	928	25	753	762	502	637	389	560	533	300	216	588	828	689	392	677	515	43	624
335	111	666	737	677	800	15	623	39	58	344	607	618	54	774	158	898	84	7	183	577	12	283	722	392	962	980	566	304	246
691	782	100	66	226	725	181	211	399	686	490	197	90	982	967	571	50	865	640	196	792	781	772	166	268	390	793	807	207	937
917	742	43	507	815	589	568	57	798	684	272	598	298	871	441	701	383	551	273	133	401	632	263	15	742	647	315	378	69	249
965	765	866	798	460	743	903	810	839	76	187	922	799	659	582	488	395	975	475	598	989	411	277	965	890	568	922	181	387	998
684	598	227	928	735	730	364	748	247	461	260	636	579	311	107	465	351	13	468	197	273	761	554	631	323	773	757	921	49	273
422	742	456	22	928	385	28	668	551	988	309	157	534	384	906	247	991	291	291	320	377	641	260	407	374	793	208	302	980	297
795	259	224	600	231	152	380	989	307	256	210	143	220	767	797	423	940	89	172	108	163	946	534	513	856	695	620	302	211	122
563	512	697	954	69	127	594	244	738	578	995	872	247	50	763	654	946	818	18	631	651	429	123	919	85	502	862	551	674	27
27	232	884	2	531	279	873	6	895	92	949	346	524	577	496	428	451	397	229	290	861	330	226	803	959	408	577	84	235	496
106	901	522	944	465	658	313	753	112	876	112	546	90	394	571	380	442	20	50	872	90	652	485	220	84	917	551	903	639	517
794	372	623	234	849	451	163	319	422	737	776	955	998	728	203	132	225	225	899	299	266	228	996	731	620	60	785	968	36	153
396	795	211	155	421	418	852	451	862	905	567	188	513	2	769	460	442	639	304	537	235	134	532	124	880	884	629	218	751	205
412	2	522	15	355	690	470	90	63	239	109	752	203	395	151	255	468	803	528	846	631	852	618	431	997	276	967	252	36	643
492	674	81	384	208	820	77	49	655	833	590	521	453	492	555	848	681	863	232	354	902	862	66	768	406	691	881	336	917	173
614	292	417	72	181	131	558	33	809	903	440	267	6	780	562	428	891	975	947	342	905	735	400	992	783	339	33	905	842	51
300	557	301	310	680	698	38	12	842	926	163	334	141	13	826	729	722	856	860	61	398	545	559	429	708	5	126	838	642	938
